Date,Price,Open,High,Low,Vol.,Change %
2/22/2016,3118.87,3083.93,3128.21,3071.33,140.95K,2.20%
2/23/2016,3089.36,3117.20,3119.22,3061.43,112.57K,-0.95%
2/24/2016,3109.55,3077.61,3109.55,3055.25,111.78K,0.65%
2/25/2016,2918.75,3104.41,3104.44,2905.46,157.83K,-6.14%
2/26/2016,2948.03,2942.10,2964.39,2902.95,106.95K,1.00%
2/29/2016,2877.47,2939.58,2939.87,2821.21,129.34K,-2.39%
3/1/2016,2930.69,2881.34,2950.44,2863.32,116.05K,1.85%
3/2/2016,3051.33,2933.92,3054.72,2933.12,175.97K,4.12%
3/3/2016,3058.42,3050.39,3078.44,3040.25,173.11K,0.23%
3/4/2016,3093.89,3047.54,3101.66,3032.42,219.17K,1.16%
3/7/2016,3104.84,3109.00,3130.90,3083.58,132.46K,0.35%
3/8/2016,3107.67,3100.15,3109.25,3001.83,136.24K,0.09%
3/9/2016,3071.91,3045.92,3072.92,3020.13,111.47K,-1.15%
3/10/2016,3013.15,3056.21,3074.16,3012.69,76.07K,-1.91%
3/11/2016,3018.28,2990.21,3026.44,2982.17,73.33K,0.17%
3/14/2016,3065.69,3039.57,3106.80,3034.00,117.11K,1.57%
3/15/2016,3074.78,3061.34,3077.08,3028.58,98.31K,0.30%
3/16/2016,3090.03,3068.87,3100.35,3064.52,124.74K,0.50%
3/17/2016,3124.20,3096.81,3147.84,3077.57,121.66K,1.11%
3/18/2016,3171.96,3136.22,3197.67,3130.10,197.30K,1.53%
3/21/2016,3249.44,3203.29,3267.78,3198.36,233.27K,2.44%
3/22/2016,3225.79,3231.61,3249.68,3218.73,161.02K,-0.73%
3/23/2016,3236.09,3217.73,3242.25,3202.98,125.68K,0.32%
3/24/2016,3181.85,3211.50,3221.91,3181.81,133.13K,-1.68%
3/25/2016,3197.82,3176.81,3204.44,3174.32,97.40K,0.50%
3/28/2016,3169.73,3206.95,3229.62,3161.88,103.44K,-0.88%
3/29/2016,3135.41,3171.31,3178.07,3122.76,97.30K,-1.08%
3/30/2016,3216.28,3161.29,3216.68,3161.29,117.80K,2.58%
3/31/2016,3218.09,3229.20,3241.93,3208.66,121.55K,0.06%
