Date,Open,High,Low,Price,Adj. Close,Vol.,Change %
14-Mar-17,4243.73,4249.17,4224.87,4230.67,,5.12B,-0.30%
13-Mar-17,4197.12,4243.20,4179.41,4243.20,,5.64B,1.10%
10-Mar-17,4181.06,4206.57,4181.06,4196.91,,4.43B,0.34%
9-Mar-17,4208.09,4208.23,4175.59,4182.71,,4.80B,-0.73%
8-Mar-17,4235.03,4235.03,4204.65,4213.38,,4.50B,-0.52%
7-Mar-17,4224.12,4235.27,4213.15,4235.27,,5.28B,0.30%
6-Mar-17,4175.79,4222.63,4175.79,4222.63,,5.67B,1.19%
3-Mar-17,4151.66,4176.46,4139.02,4172.81,,4.95B,0.24%
2-Mar-17,4187.83,4193.63,4160.75,4162.83,,5.09B,-0.46%
1-Mar-17,4168.88,4194.16,4164.96,4181.96,,5.32B,0.27%
28-Feb-17,4156.69,4176.11,4151.02,4170.54,,4.61B,0.34%
27-Feb-17,4193.83,4194.75,4153.34,4156.21,,5.41B,-0.88%
24-Feb-17,4190.02,4196.78,4176.60,4193.06,,5.48B,-0.01%
23-Feb-17,4200.28,4205.77,4173.96,4193.64,,6.04B,-0.22%
22-Feb-17,4184.56,4202.83,4178.78,4202.83,,5.95B,0.40%
21-Feb-17,4162.59,4186.33,4158.83,4185.96,,5.89B,0.68%
20-Feb-17,4103.03,4160.97,4103.03,4157.64,,5.64B,1.40%
17-Feb-17,4123.99,4141.36,4094.02,4100.27,,5.39B,-0.49%
16-Feb-17,4087.29,4120.63,4082.27,4120.63,,4.87B,0.82%
15-Feb-17,4118.56,4133.86,4080.42,4087.26,,5.61B,-0.81%
14-Feb-17,4124.00,4130.42,4108.38,4120.72,,4.85B,-0.03%
13-Feb-17,4086.90,4126.30,4086.80,4121.88,,5.85B,0.91%
10-Feb-17,4079.79,4095.15,4069.75,4084.68,,5.58B,0.15%
9-Feb-17,4056.50,4083.76,4053.50,4078.47,,4.86B,0.47%
8-Feb-17,4024.18,4059.25,4008.81,4059.25,,3.98B,0.76%
7-Feb-17,4037.85,4045.23,4012.74,4028.62,,3.61B,-0.29%
6-Feb-17,4014.63,4044.03,4006.34,4040.39,,3.65B,0.61%
3-Feb-17,4039.00,4041.54,4007.39,4016.08,,3.36B,-0.51%
26-Jan-17,4014.10,4037.95,4013.80,4036.62,,3.29B,0.68%
25-Jan-17,3992.37,4014.62,3987.94,4009.24,,3.04B,0.37%
24-Jan-17,4006.14,4008.64,3989.38,3994.57,,3.70B,-0.33%
23-Jan-17,3988.73,4022.80,3988.73,4007.92,,4.18B,0.61%
20-Jan-17,3930.92,3991.40,3930.73,3983.65,,3.87B,1.30%
