Date,Price,Open,High,Low,Vol.,Change %
11/16/2015,4442.18,4438.69,4452.26,4395.97,2.34B,-0.69%
11/17/2015,4500.95,4474.52,4520.70,4474.52,2.76B,1.32%
11/18/2015,4497.91,4513.70,4521.56,4497.91,2.19B,-0.07%
11/19/2015,4518.94,4517.58,4530.90,4513.35,2.93B,0.47%
11/20/2015,4561.33,4505.90,4561.33,4505.37,3.24B,0.94%
11/23/2015,4541.07,4570.16,4590.31,4541.07,2.61B,-0.44%
11/24/2015,4545.38,4535.70,4555.27,4534.58,2.42B,0.09%
11/25/2015,4585.55,4557.47,4585.55,4557.39,2.54B,0.88%
11/26/2015,4597.06,4595.86,4621.26,4583.30,2.71B,0.25%
11/27/2015,4560.56,4599.08,4606.80,4541.97,2.32B,-0.79%
11/30/2015,4446.46,4527.41,4535.97,4446.46,4.30B,-2.50%
12/1/2015,4557.67,4504.22,4557.67,4504.22,2.58B,2.50%
12/2/2015,4545.86,4559.15,4568.41,4541.67,2.47B,-0.26%
12/3/2015,4537.38,4526.49,4548.83,4518.82,2.18B,-0.19%
12/4/2015,4508.45,4513.57,4531.31,4501.45,2.39B,-0.64%
12/7/2015,4521.39,4523.91,4553.65,4521.39,2.21B,0.29%
12/8/2015,4464.18,4495.26,4522.35,4464.18,2.55B,-1.27%
12/10/2015,4466.21,4441.57,4473.77,4438.20,2.45B,0.05%
12/11/2015,4393.52,4471.36,4473.05,4393.52,2.03B,-1.63%
12/14/2015,4374.19,4360.89,4374.19,4330.76,2.21B,-0.44%
12/15/2015,4409.17,4370.10,4409.17,4370.01,2.31B,0.80%
12/16/2015,4483.45,4450.72,4483.45,4429.79,2.71B,1.68%
12/17/2015,4555.96,4542.12,4555.96,4525.74,2.92B,1.62%
12/18/2015,4468.65,4512.21,4514.53,4467.06,2.67B,-1.92%
12/21/2015,4490.68,4452.65,4490.68,4452.02,2.16B,0.49%
12/22/2015,4517.57,4494.31,4517.57,4487.73,2.60B,0.60%
12/23/2015,4522.65,4514.46,4522.65,4498.98,2.39B,0.11%
12/28/2015,4557.35,4512.30,4568.12,4511.62,2.05B,0.77%
12/29/2015,4569.36,4552.14,4569.36,4552.10,2.01B,0.26%
12/30/2015,4593.01,4574.06,4595.51,4571.76,2.75B,0.52%
1/4/2016,4525.92,4580.16,4603.82,4525.92,2.13B,-1.46%
1/5/2016,4557.82,4527.43,4594.34,4527.00,2.44B,0.70%
1/6/2016,4608.98,4563.65,4639.24,4562.57,3.00B,1.12%
1/7/2016,4530.45,4573.69,4577.64,4530.45,2.40B,-1.70%
1/8/2016,4546.29,4524.86,4550.91,4507.41,2.40B,0.35%
1/11/2016,4465.48,4515.50,4517.94,4459.79,2.00B,-1.78%
1/12/2016,4512.53,4487.55,4526.20,4486.65,2.37B,1.05%
1/13/2016,4537.18,4535.88,4559.51,4533.68,2.67B,0.55%
1/14/2016,4513.18,4492.78,4526.51,4456.47,3.63B,-0.53%
1/15/2016,4523.98,4518.98,4542.10,4516.13,2.32B,0.24%
1/18/2016,4481.28,4491.32,4503.86,4471.24,2.11B,-0.94%
1/19/2016,4491.74,4486.59,4499.57,4464.73,2.30B,0.23%
1/20/2016,4427.98,4477.15,4491.12,4427.98,2.64B,-1.42%
1/21/2016,4414.13,4447.75,4463.03,4408.80,2.43B,-0.31%
1/22/2016,4456.74,4446.42,4456.74,4421.06,2.76B,0.97%
1/25/2016,4505.79,4483.61,4519.60,4465.21,2.82B,1.10%
1/26/2016,4510.47,4489.69,4517.37,4483.29,2.30B,0.10%
1/27/2016,4583.63,4526.22,4583.63,4526.22,3.66B,1.62%
1/28/2016,4602.83,4582.72,4608.40,4579.50,3.17B,0.42%
1/29/2016,4615.16,4611.94,4618.82,4568.44,3.59B,0.27%
2/1/2016,4624.64,4620.15,4625.43,4559.89,2.68B,0.21%
2/2/2016,4587.44,4598.94,4617.97,4586.30,3.06B,-0.80%
2/3/2016,4596.11,4553.13,4596.11,4545.14,2.36B,0.19%
2/4/2016,4665.82,4607.04,4669.11,4607.04,3.25B,1.52%
2/5/2016,4798.95,4674.61,4798.95,4673.99,3.76B,2.85%
2/9/2016,4768.62,4773.77,4779.81,4736.57,2.30B,-0.63%
2/10/2016,4732.48,4748.54,4782.94,4726.01,2.89B,-0.76%
2/11/2016,4775.86,4723.99,4786.18,4723.99,3.70B,0.92%
2/12/2016,4714.39,4757.71,4771.34,4710.54,2.69B,-1.29%
2/15/2016,4740.73,4749.78,4761.70,4729.82,3.29B,0.56%
2/16/2016,4745.00,4745.99,4770.01,4726.59,3.72B,0.09%
2/17/2016,4765.51,4738.42,4774.46,4737.42,4.31B,0.43%
2/18/2016,4778.79,4784.04,4803.61,4760.24,4.73B,0.28%
2/19/2016,4697.56,4744.24,4759.18,4680.14,3.40B,-1.70%
2/22/2016,4708.62,4701.41,4715.62,4682.38,2.69B,0.24%
2/23/2016,4654.05,4715.20,4722.38,4628.91,3.53B,-1.16%
2/24/2016,4657.72,4643.82,4673.82,4627.64,2.69B,0.08%
2/25/2016,4658.32,4681.99,4686.56,4652.86,3.18B,0.01%
2/26/2016,4733.15,4695.82,4736.53,4691.43,2.78B,1.61%
2/29/2016,4770.96,4738.29,4774.52,4722.99,2.63B,0.80%
3/1/2016,4779.98,4760.24,4781.26,4758.88,3.20B,0.19%
3/2/2016,4836.20,4808.86,4840.75,4808.25,3.46B,1.18%
3/3/2016,4844.04,4848.91,4868.26,4812.86,3.89B,0.16%
3/4/2016,4850.88,4844.49,4860.64,4802.38,4.51B,0.14%
3/7/2016,4831.57,4860.21,4870.28,4821.46,4.56B,-0.40%
3/8/2016,4811.04,4831.05,4842.67,4776.07,4.05B,-0.42%
3/10/2016,4793.20,4791.68,4798.38,4761.38,3.32B,-0.37%
3/11/2016,4813.78,4784.24,4813.78,4777.00,3.15B,0.43%
3/14/2016,4877.53,4839.03,4878.20,4835.27,4.46B,1.32%
3/15/2016,4849.78,4880.88,4884.27,4843.92,4.45B,-0.57%
3/16/2016,4861.44,4848.61,4861.44,4837.58,4.23B,0.24%
3/17/2016,4885.69,4883.17,4900.41,4869.81,4.98B,0.50%
3/18/2016,4885.71,4889.90,4908.26,4858.59,5.11B,0.00%
3/21/2016,4885.16,4871.25,4905.31,4865.24,3.76B,-0.01%
3/22/2016,4856.11,4870.90,4886.42,4833.70,3.61B,-0.59%
3/23/2016,4854.18,4850.17,4854.18,4822.34,4.28B,-0.04%
3/24/2016,4827.09,4836.62,4849.90,4817.72,3.46B,-0.56%
3/28/2016,4773.63,4809.19,4813.92,4757.80,2.92B,-1.11%
3/29/2016,4781.30,4767.53,4786.21,4760.08,3.31B,0.16%
3/30/2016,4816.65,4797.15,4833.12,4792.26,3.82B,0.74%
3/31/2016,4845.37,4827.10,4845.37,4808.26,5.09B,0.60%
4/1/2016,4843.19,4843.39,4844.36,4819.93,3.09B,-0.04%
4/4/2016,4850.18,4840.15,4864.94,4838.98,3.70B,0.14%
4/5/2016,4858.07,4848.85,4883.68,4843.16,3.39B,0.16%
4/6/2016,4868.23,4863.06,4879.00,4861.58,4.75B,0.21%
4/7/2016,4867.28,4884.84,4900.47,4858.50,4.93B,-0.02%
4/8/2016,4846.70,4839.65,4862.81,4829.44,4.23B,-0.42%
4/11/2016,4786.97,4833.35,4843.63,4766.81,3.32B,-1.23%
4/12/2016,4829.57,4788.42,4829.57,4776.98,3.73B,0.89%
