Date,Price,Open,High,Low,Vol.,Change %
12/21/2017,4556.72,4525.15,4571.06,4493.20,2.25B,0.52%
12/22/2017,4545.70,4553.03,4573.79,4542.41,2.06B,-0.24%
12/25/2017,4502.67,4548.20,4557.90,4493.91,2.57B,-0.95%
12/26/2017,4518.67,4498.06,4518.67,4470.58,2.15B,0.36%
12/27/2017,4498.84,4516.31,4533.19,4493.33,2.49B,-0.44%
12/28/2017,4511.91,4492.61,4523.03,4489.29,2.69B,0.29%
12/29/2017,4543.59,4512.62,4543.59,4512.42,2.44B,0.70%
1/2/2018,4593.09,4551.91,4593.09,4545.62,3.40B,1.09%
1/3/2018,4639.80,4588.92,4643.72,4586.02,3.89B,1.02%
1/4/2018,4647.97,4631.46,4649.56,4627.86,3.54B,0.18%
1/5/2018,4648.94,4651.51,4664.18,4641.74,3.58B,0.02%
1/8/2018,4663.72,4650.75,4663.72,4625.73,4.10B,0.32%
1/9/2018,4661.84,4662.36,4665.76,4646.17,3.38B,-0.04%
1/10/2018,4639.72,4655.29,4657.55,4609.03,3.85B,-0.47%
1/11/2018,4673.23,4631.75,4677.06,4620.87,4.04B,0.72%
1/12/2018,4644.96,4671.05,4679.46,4640.86,4.13B,-0.60%
1/15/2018,4527.20,4636.47,4637.46,4515.95,4.65B,-2.54%
1/16/2018,4540.59,4522.35,4553.37,4519.84,4.02B,0.30%
1/17/2018,4528.64,4524.92,4541.40,4458.14,4.23B,-0.26%
1/18/2018,4526.08,4517.11,4546.51,4515.98,3.05B,-0.06%
1/19/2018,4516.41,4523.80,4551.94,4508.26,3.30B,-0.21%
1/22/2018,4577.32,4514.26,4580.01,4497.91,3.57B,1.35%
1/23/2018,4584.20,4573.89,4591.28,4565.94,3.07B,0.15%
1/24/2018,4636.64,4583.14,4641.57,4557.80,4.05B,1.14%
1/25/2018,4625.73,4631.61,4666.89,4623.35,4.39B,-0.24%
1/26/2018,4629.72,4620.15,4646.80,4618.65,3.83B,0.09%
1/29/2018,4584.85,4624.55,4642.30,4570.13,4.02B,-0.97%
1/30/2018,4572.44,4575.00,4595.69,4565.29,3.60B,-0.27%
1/31/2018,4480.20,4537.82,4537.82,4463.59,4.05B,-2.02%
2/1/2018,4343.63,4472.31,4483.80,4343.63,4.38B,-3.05%
2/2/2018,4362.73,4308.55,4367.01,4246.53,4.11B,0.44%
2/5/2018,4345.26,4305.71,4359.03,4294.58,3.59B,-0.40%
2/6/2018,4139.90,4264.00,4296.72,4138.31,4.32B,-4.73%
2/7/2018,4154.63,4215.40,4232.53,4090.06,4.22B,0.36%
2/8/2018,4199.77,4143.26,4215.19,4139.53,3.23B,1.09%
2/9/2018,4050.27,4094.13,4132.36,4010.15,3.88B,-3.56%
2/12/2018,4163.84,4072.28,4177.27,4072.28,2.93B,2.80%
2/13/2018,4184.86,4185.87,4221.95,4176.51,2.83B,0.50%
2/14/2018,4194.28,4186.75,4199.95,4162.53,2.14B,0.23%
2/22/2018,4283.88,4232.78,4285.75,4224.07,3.15B,2.14%
2/23/2018,4295.08,4283.85,4296.40,4257.35,3.03B,0.26%
2/26/2018,4397.63,4320.68,4401.93,4311.43,4.04B,2.39%
2/27/2018,4402.74,4397.74,4422.35,4386.53,4.03B,0.12%
2/28/2018,4433.08,4374.32,4449.19,4355.85,3.94B,0.69%
3/1/2018,4488.05,4403.56,4488.05,4396.06,4.05B,1.24%
3/2/2018,4449.38,4455.31,4490.16,4443.00,3.77B,-0.86%
3/5/2018,4466.45,4458.08,4470.11,4433.34,3.37B,0.38%
3/6/2018,4519.29,4474.34,4519.29,4471.00,4.27B,1.18%
3/7/2018,4483.31,4513.77,4524.92,4480.31,3.73B,-0.80%
3/8/2018,4519.59,4477.45,4519.59,4477.45,3.55B,0.81%
3/9/2018,4596.25,4523.29,4598.43,4519.68,4.86B,1.70%
3/12/2018,4660.91,4621.47,4660.91,4620.88,5.31B,1.41%
3/13/2018,4628.32,4652.65,4670.99,4627.40,4.49B,-0.70%
3/14/2018,4569.76,4614.93,4630.02,4568.33,3.94B,-1.27%
3/15/2018,4558.63,4555.34,4577.15,4507.17,3.48B,-0.24%
3/16/2018,4530.34,4561.61,4582.38,4530.34,3.12B,-0.62%
3/19/2018,4546.46,4530.40,4573.44,4513.94,3.31B,0.36%
3/20/2018,4570.23,4512.50,4574.62,4502.10,3.33B,0.52%
3/21/2018,4522.77,4577.22,4602.27,4521.89,4.02B,-1.04%
3/22/2018,4497.03,4524.37,4546.68,4483.53,3.39B,-0.57%
3/23/2018,4274.36,4355.13,4414.46,4235.11,5.78B,-4.95%
3/26/2018,4376.80,4219.94,4376.80,4195.98,4.14B,2.40%
3/27/2018,4491.32,4421.22,4494.69,4421.22,4.68B,2.62%
3/28/2018,4456.16,4438.13,4503.77,4429.92,4.07B,-0.78%
3/29/2018,4481.04,4471.65,4490.43,4440.62,3.65B,0.56%
3/30/2018,4568.06,4497.30,4568.06,4497.30,3.83B,1.94%
4/2/2018,4569.39,4583.66,4611.24,4561.49,4.49B,0.03%
4/3/2018,4515.01,4504.06,4525.40,4472.92,3.71B,-1.19%
4/4/2018,4457.80,4530.33,4545.03,4455.19,3.32B,-1.27%
4/9/2018,4460.20,4439.82,4489.30,4414.92,3.13B,0.05%
4/10/2018,4478.69,4467.65,4478.69,4426.59,3.40B,0.41%
4/11/2018,4498.08,4492.98,4520.06,4486.49,3.47B,0.43%
4/12/2018,4479.06,4492.91,4513.89,4470.48,3.04B,-0.42%
4/13/2018,4465.04,4500.15,4514.90,4457.85,2.93B,-0.31%
4/16/2018,4470.22,4450.42,4496.34,4428.29,3.91B,0.12%
4/17/2018,4370.81,4480.09,4490.51,4370.00,3.68B,-2.22%
4/18/2018,4440.91,4398.50,4450.87,4325.06,3.84B,1.60%
4/19/2018,4459.76,4440.94,4488.79,4434.35,3.74B,0.42%
4/20/2018,4375.64,4441.50,4462.04,4368.61,3.81B,-1.89%
4/23/2018,4316.18,4379.16,4392.38,4271.36,3.51B,-1.36%
4/24/2018,4412.14,4307.22,4412.14,4307.22,3.66B,2.22%
4/25/2018,4412.91,4387.67,4424.02,4380.90,3.55B,0.02%
4/26/2018,4328.80,4411.79,4414.31,4327.69,3.52B,-1.91%
4/27/2018,4358.84,4345.84,4366.06,4305.27,3.02B,0.69%
5/2/2018,4353.32,4365.23,4394.46,4325.96,3.06B,-0.13%
5/3/2018,4388.45,4345.78,4388.45,4287.64,3.26B,0.81%
5/4/2018,4389.92,4376.09,4412.91,4370.38,2.73B,0.03%
5/7/2018,4461.57,4398.12,4463.05,4395.09,2.94B,1.63%
5/8/2018,4470.31,4462.19,4471.35,4450.10,3.00B,0.20%
5/9/2018,4460.97,4464.82,4470.75,4439.42,2.58B,-0.21%
5/10/2018,4481.04,4465.10,4481.26,4443.36,2.87B,0.45%
5/11/2018,4434.76,4482.88,4487.96,4433.94,3.42B,-1.03%
5/14/2018,4416.34,4429.23,4445.36,4405.03,3.19B,-0.42%
5/15/2018,4460.31,4423.12,4460.31,4403.91,2.80B,1.00%
5/16/2018,4446.61,4447.13,4476.57,4438.46,2.79B,-0.31%
5/17/2018,4424.79,4447.74,4454.28,4414.53,2.39B,-0.49%
5/18/2018,4440.63,4417.14,4444.97,4392.92,2.57B,0.36%
5/21/2018,4493.58,4467.75,4500.98,4466.78,3.32B,1.19%
5/22/2018,4513.81,4490.95,4513.81,4481.67,2.95B,0.45%
5/23/2018,4467.40,4507.37,4514.15,4467.39,3.17B,-1.03%
5/24/2018,4449.07,4465.08,4480.08,4446.30,2.57B,-0.41%
5/25/2018,4384.02,4445.60,4452.45,4378.95,2.90B,-1.46%
5/28/2018,4355.29,4376.64,4390.89,4333.99,2.73B,-0.66%
5/29/2018,4294.82,4348.82,4375.48,4293.87,2.58B,-1.39%
5/30/2018,4182.89,4229.29,4253.75,4179.66,3.28B,-2.61%
5/31/2018,4233.83,4215.27,4238.26,4167.65,2.69B,1.22%
6/1/2018,4171.51,4215.85,4230.62,4149.98,2.49B,-1.47%
6/4/2018,4166.61,4173.82,4183.66,4136.39,2.36B,-0.12%
6/5/2018,4246.94,4164.81,4246.94,4164.81,2.41B,1.93%
6/6/2018,4244.87,4244.01,4261.59,4226.96,2.36B,-0.05%
6/7/2018,4213.97,4254.15,4259.85,4212.43,2.34B,-0.73%
6/8/2018,4172.71,4208.01,4208.29,4143.79,2.46B,-0.98%
6/11/2018,4135.26,4165.24,4175.90,4122.48,2.06B,-0.90%
6/12/2018,4183.69,4138.87,4184.59,4102.72,2.23B,1.17%
6/13/2018,4122.33,4176.77,4177.00,4122.33,2.22B,-1.47%
6/14/2018,4101.31,4109.82,4153.75,4088.06,2.17B,-0.51%
6/15/2018,4020.92,4097.22,4104.67,4002.67,2.63B,-1.96%
6/19/2018,3783.00,3953.02,3971.32,3739.02,3.63B,-5.92%
6/20/2018,3823.33,3765.07,3844.63,3741.02,2.93B,1.07%
6/21/2018,3741.09,3823.74,3849.49,3739.72,3.01B,-2.15%
6/22/2018,3791.87,3717.68,3800.15,3692.11,2.51B,1.36%
6/25/2018,3764.77,3819.76,3830.05,3762.31,2.46B,-0.71%
6/26/2018,3787.12,3711.99,3794.36,3700.45,2.68B,0.59%
6/27/2018,3742.98,3786.08,3806.62,3732.01,2.50B,-1.17%
6/28/2018,3711.46,3736.58,3782.84,3705.70,2.42B,-0.84%
6/29/2018,3844.99,3716.63,3844.99,3714.68,2.94B,3.60%
7/2/2018,3783.00,3842.26,3858.83,3753.24,2.80B,-1.61%
7/3/2018,3822.97,3780.22,3830.18,3711.65,3.30B,1.06%
7/4/2018,3760.33,3802.83,3807.58,3745.38,2.80B,-1.64%
7/5/2018,3664.83,3751.35,3764.97,3663.32,2.63B,-2.54%
7/6/2018,3681.38,3666.17,3733.05,3605.85,3.05B,0.45%
7/9/2018,3760.08,3690.48,3760.08,3690.48,2.67B,2.14%
7/10/2018,3785.53,3764.74,3786.97,3752.53,2.67B,0.68%
7/11/2018,3710.42,3720.92,3736.76,3659.74,2.92B,-1.98%
7/12/2018,3814.06,3706.30,3823.08,3706.30,3.93B,2.79%
7/13/2018,3836.52,3819.56,3842.03,3814.06,3.30B,0.59%
7/16/2018,3830.34,3829.73,3842.54,3809.30,2.88B,-0.16%
7/17/2018,3821.58,3817.99,3821.58,3774.40,2.86B,-0.23%
7/18/2018,3786.45,3815.53,3834.11,3786.45,3.06B,-0.92%
7/19/2018,3749.48,3780.57,3804.68,3736.13,2.71B,-0.98%
7/20/2018,3797.58,3742.46,3807.36,3722.59,3.00B,1.28%
7/23/2018,3835.89,3774.30,3835.89,3764.67,3.94B,1.01%
7/24/2018,3898.64,3835.48,3909.99,3835.48,4.72B,1.64%
7/25/2018,3903.51,3902.26,3929.50,3890.74,4.12B,0.12%
7/26/2018,3865.26,3903.70,3911.03,3854.65,3.91B,-0.98%
7/27/2018,3845.15,3859.76,3870.31,3829.62,3.31B,-0.52%
7/30/2018,3792.64,3842.85,3852.63,3781.70,3.06B,-1.37%
7/31/2018,3790.59,3787.28,3807.01,3770.27,2.67B,-0.05%
8/1/2018,3726.49,3801.08,3818.79,3726.49,3.28B,-1.69%
8/2/2018,3638.83,3716.27,3716.29,3559.53,3.90B,-2.35%
8/3/2018,3589.06,3633.98,3652.10,3589.06,2.64B,-1.37%
8/6/2018,3505.99,3584.33,3601.06,3483.94,2.79B,-2.31%
8/7/2018,3601.47,3512.62,3601.47,3483.58,2.94B,2.72%
8/8/2018,3537.31,3591.73,3600.24,3534.17,2.83B,-1.78%
8/9/2018,3639.75,3524.98,3659.14,3520.77,3.60B,2.90%
8/10/2018,3663.21,3635.34,3667.19,3634.06,2.72B,0.64%
8/13/2018,3687.24,3626.73,3691.99,3613.77,2.84B,0.66%
8/14/2018,3663.16,3679.74,3686.31,3651.04,2.48B,-0.65%
8/15/2018,3582.98,3664.73,3665.56,3576.67,2.85B,-2.19%
8/16/2018,3550.97,3540.69,3591.61,3509.35,2.58B,-0.89%
8/17/2018,3498.84,3579.84,3593.77,3490.93,2.68B,-1.47%
8/20/2018,3519.18,3495.97,3519.44,3444.80,2.83B,0.58%
8/21/2018,3555.80,3514.97,3560.49,3502.89,2.86B,1.04%
8/22/2018,3508.82,3548.84,3549.49,3503.96,2.41B,-1.32%
8/23/2018,3533.84,3506.43,3549.28,3499.28,2.57B,0.71%
8/24/2018,3520.85,3524.44,3544.08,3510.43,2.30B,-0.37%
8/27/2018,3608.42,3528.56,3610.82,3528.56,2.98B,2.49%
8/28/2018,3618.52,3610.58,3623.72,3600.32,2.88B,0.28%
8/29/2018,3589.30,3613.28,3614.22,3579.19,3.09B,-0.81%
8/30/2018,3534.10,3585.78,3598.58,3530.45,3.04B,-1.54%
8/31/2018,3492.94,3519.77,3526.46,3483.30,2.63B,-1.16%
9/3/2018,3503.71,3485.84,3503.71,3441.47,2.97B,0.31%
9/4/2018,3541.08,3497.81,3549.58,3492.23,3.41B,1.07%
9/5/2018,3489.09,3528.29,3541.24,3488.83,3.72B,-1.47%
9/6/2018,3466.50,3475.74,3512.23,3451.71,2.51B,-0.65%
9/7/2018,3466.20,3471.22,3524.53,3444.87,2.98B,-0.01%
9/10/2018,3400.38,3466.03,3466.86,3398.95,2.79B,-1.90%
9/11/2018,3400.42,3399.84,3421.99,3371.22,2.51B,0.00%
9/12/2018,3402.40,3400.01,3431.18,3390.82,2.31B,0.06%
9/13/2018,3428.93,3432.98,3449.26,3375.08,3.24B,0.78%
9/14/2018,3382.23,3430.42,3430.47,3382.23,3.29B,-1.36%
9/17/2018,3323.61,3361.67,3361.67,3311.76,2.75B,-1.73%
9/18/2018,3386.47,3313.53,3386.47,3312.82,2.94B,1.89%
9/19/2018,3427.66,3378.29,3455.20,3371.55,3.69B,1.22%
9/20/2018,3423.52,3425.10,3446.78,3415.25,3.19B,-0.12%
9/21/2018,3478.23,3431.98,3483.18,3411.32,3.50B,1.60%
9/25/2018,3463.85,3453.44,3477.96,3443.61,2.69B,-0.41%
9/26/2018,3481.69,3468.56,3498.99,3455.42,3.41B,0.52%
9/27/2018,3437.25,3478.86,3485.15,3436.42,3.29B,-1.28%
9/28/2018,3462.64,3442.71,3462.64,3425.33,2.73B,0.74%
10/8/2018,3343.38,3398.34,3412.53,3338.73,3.05B,-3.44%
10/9/2018,3325.25,3348.10,3368.86,3309.97,2.45B,-0.54%
10/10/2018,3322.57,3330.97,3345.20,3294.01,2.72B,-0.08%
10/11/2018,3091.45,3216.27,3234.48,3071.04,4.41B,-6.96%
10/12/2018,3093.36,3069.83,3108.01,2982.22,3.83B,0.06%
10/15/2018,3045.36,3100.61,3125.86,3042.18,3.03B,-1.55%
10/16/2018,2968.38,3042.67,3063.27,2951.94,3.20B,-2.53%
10/17/2018,2996.25,3001.88,3017.44,2923.33,3.55B,0.94%
10/18/2018,2908.81,2968.71,2968.71,2905.35,3.03B,-2.92%
